Date,China,USA,,,,,,
2020-01-22,548,1,,,,,,
2020-01-23,643,1,,,,,,
2020-01-24,920,2,,,,,,
2020-01-25,1406,2,,,,,,
2020-01-26,2075,5,,,,,,
2020-01-27,2877,5,,,,,,
2020-01-28,5509,5,,,,,,
2020-01-29,6087,5,,,,,,
2020-01-30,8141,5,,,,,,
2020-01-31,9802,7,,,,,,
2020-02-01,11891,8,,,,,,
2020-02-02,16630,8,,,,,,
2020-02-03,19716,11,,,,,,
2020-02-04,23707,11,,,,,,
2020-02-05,27440,11,,,,,,
2020-02-06,30587,11,,,,,,
2020-02-07,34110,11,,,,,,
2020-02-08,36814,11,,,,,,
2020-02-09,39829,11,,,,,,
2020-02-10,42354,11,,,,,,
2020-02-11,44386,12,,,,,,
2020-02-12,44759,12,,,,,,
2020-02-13,59895,13,,,,,,
2020-02-14,66358,13,,,,,,
2020-02-15,68413,13,,,,,,
2020-02-16,70513,13,,,,,,
2020-02-17,72434,13,,,,,,
2020-02-18,74211,13,,,,,,
2020-02-19,74619,13,,,,,,
2020-02-20,75077,13,,,,,,
2020-02-21,75550,15,,,,,,
2020-02-22,77001,15,,,,,,
2020-02-23,77022,15,,,,,,
2020-02-24,77241,15,,,,,,
2020-02-25,77754,15,,,,,,
2020-02-26,78166,15,,,,,,
2020-02-27,78600,16,,,,,,
2020-02-28,78928,16,,,,,,
2020-02-29,79356,24,,,,,,
2020-03-01,79932,30,,,,,,
2020-03-02,80136,53,,,,,,
2020-03-03,80261,73,,,,,,
2020-03-04,80386,104,,,,,,
2020-03-05,80537,174,,,,,,
2020-03-06,80690,222,,,,,,
2020-03-07,80770,337,,,,,,
2020-03-08,80823,451,,,,,,
2020-03-09,80860,519,,,,,,
2020-03-10,80887,711,,,,,,
2020-03-11,80921,1109,,,,,,
2020-03-12,80932,1561,,,,,,
2020-03-13,80945,2157,,,,,,
2020-03-14,80977,2870,,,,,,
2020-03-15,81003,2968,,,,,,
2020-03-16,81033,4360,,,,,,
2020-03-17,81058,6141,,,,,,
2020-03-18,81102,8917,,,,,,
2020-03-19,81156,14157,,,,,,
2020-03-20,81250,19479,,,,,,
